date,close,open,high,low,change
2020-05-08,1219.91 ,1219.62 ,1221.11 ,1214.60 ,-0.02%
2020-05-07,1220.11 ,1229.60 ,1230.06 ,1217.08 ,-0.77%
2020-05-06,1229.55 ,1222.57 ,1230.03 ,1220.57 ,0.57%
2020-05-05,1222.57 ,1224.18 ,1224.82 ,1218.20 ,-0.13%
2020-05-04,1224.18 ,1224.80 ,1230.53 ,1223.36 ,-0.06%
2020-05-01,1224.93 ,1213.94 ,1225.87 ,1213.10 ,0.91%
2020-04-30,1213.94 ,1211.10 ,1215.69 ,1203.52 ,0.23%
2020-04-29,1211.10 ,1221.81 ,1223.45 ,1210.42 ,-0.88%
2020-04-28,1221.81 ,1222.64 ,1227.95 ,1216.86 ,-0.05%
2020-04-27,1222.45 ,1230.50 ,1235.10 ,1220.81 ,-0.66%
2020-04-24,1230.62 ,1233.54 ,1238.24 ,1229.93 ,-0.24%
2020-04-23,1233.54 ,1234.05 ,1237.23 ,1227.72 ,-0.04%
2020-04-22,1234.05 ,1233.53 ,1237.91 ,1229.92 ,0.04%
2020-04-21,1233.56 ,1220.62 ,1241.82 ,1220.12 ,1.06%
2020-04-20,1220.62 ,1216.26 ,1222.63 ,1214.71 ,0.36%
2020-04-17,1216.24 ,1228.98 ,1229.45 ,1213.95 ,-1.04%
2020-04-16,1228.98 ,1224.72 ,1230.53 ,1222.94 ,0.35%
2020-04-15,1224.72 ,1212.50 ,1225.77 ,1209.61 ,1.01%
2020-04-14,1212.50 ,1215.97 ,1219.45 ,1211.31 ,-0.28%
2020-04-13,1215.96 ,1212.04 ,1221.70 ,1211.59 ,0.36%
2020-04-10,1211.55 ,1211.11 ,1216.10 ,1206.64 ,0.04%
2020-04-09,1211.08 ,1216.26 ,1222.36 ,1208.67 ,-0.43%
2020-04-08,1216.26 ,1215.43 ,1223.19 ,1214.09 ,0.07%
2020-04-07,1215.43 ,1224.64 ,1225.56 ,1208.79 ,-0.75%
2020-04-06,1224.64 ,1236.42 ,1239.51 ,1223.58 ,-0.97%
2020-04-03,1236.61 ,1227.85 ,1240.65 ,1224.18 ,0.71%
2020-04-02,1227.85 ,1236.70 ,1243.29 ,1225.56 ,-0.72%
2020-04-01,1236.70 ,1218.80 ,1239.27 ,1216.80 ,1.47%
2020-03-31,1218.80 ,1224.71 ,1225.21 ,1214.28 ,-0.48%
2020-03-30,1224.71 ,1212.73 ,1227.21 ,1212.18 ,0.99%
2020-03-27,1212.73 ,1213.40 ,1227.29 ,1205.31 ,-0.06%
2020-03-26,1213.40 ,1233.00 ,1235.43 ,1212.48 ,-1.59%
2020-03-25,1233.00 ,1234.21 ,1239.08 ,1226.07 ,-0.10%
2020-03-24,1234.21 ,1273.00 ,1273.04 ,1232.90 ,-3.05%
2020-03-23,1273.00 ,1254.85 ,1283.05 ,1254.40 ,1.44%
2020-03-20,1254.95 ,1258.36 ,1264.60 ,1237.22 ,-0.27%
2020-03-19,1258.36 ,1256.50 ,1292.93 ,1247.45 ,0.15%
